[TavernServer] Agent clients initialized
[TavernServer] No tavern state file found, using default state
[TavernServer] Loaded tavern log from file
[TavernServer] Server started on http://localhost:41247
[TavernServer] Press Ctrl+C to stop the server
A2A Server listening on port 41247 at path /
[Task task-1744538804564] Created new task and history.
[TavernServer] Processing task task-1744538804564 with state submitted
[TavernServer] Task task-1744538804564 finished with state: input-required
[Task wza-tavern-query-1744538821646] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744538821646 with state submitted
[TavernServer] Task wza-tavern-query-1744538821646 finished with state: completed
[Task task-1744538925550] Created new task and history.
[TavernServer] Processing task task-1744538925550 with state submitted
[TavernServer] Task task-1744538925550 finished with state: completed
[Task wza-tavern-query-1744538941487] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744538941487 with state submitted
[TavernServer] Task wza-tavern-query-1744538941487 finished with state: completed
[Task wza-tavern-query-1744538949057] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744538949057 with state submitted
[TavernServer] Task wza-tavern-query-1744538949057 finished with state: completed
[Task task-1744539012489] Created new task and history.
[TavernServer] Processing task task-1744539012489 with state submitted
[TavernServer] Task task-1744539012489 finished with state: input-required
[Task wza-tavern-query-1744539029168] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744539029168 with state submitted
[TavernServer] Task wza-tavern-query-1744539029168 finished with state: completed
[Task wza-tavern-query-1744539036462] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744539036462 with state submitted
[TavernServer] Task wza-tavern-query-1744539036462 finished with state: completed
[Task task-1744539076042] Created new task and history.
[TavernServer] Processing task task-1744539076042 with state submitted
[TavernServer] Task task-1744539076042 finished with state: input-required
[Task wza-tavern-query-1744539091226] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744539091226 with state submitted
[TavernServer] Task wza-tavern-query-1744539091226 finished with state: input-required
[Task wza-tavern-query-1744539098965] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744539098965 with state submitted
[TavernServer] Task wza-tavern-query-1744539098965 finished with state: completed
[Task task-1744539134144] Created new task and history.
[TavernServer] Processing task task-1744539134144 with state submitted
[TavernServer] Task task-1744539134144 finished with state: completed
[Task wza-tavern-query-1744539149948] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744539149948 with state submitted
[TavernServer] Task wza-tavern-query-1744539149948 finished with state: completed
[Task wza-tavern-query-1744539157344] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744539157344 with state submitted
[TavernServer] Task wza-tavern-query-1744539157344 finished with state: completed
[Task task-1744539821124] Created new task and history.
[TavernServer] Processing task task-1744539821124 with state submitted
[TavernServer] Task task-1744539821124 finished with state: completed
[Task wza-tavern-query-1744539836316] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744539836316 with state submitted
[TavernServer] Task wza-tavern-query-1744539836316 finished with state: completed
[Task wza-tavern-query-1744539844399] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744539844399 with state submitted
[TavernServer] Task wza-tavern-query-1744539844399 finished with state: input-required
[Task task-1744540182615] Created new task and history.
[TavernServer] Processing task task-1744540182615 with state submitted
[TavernServer] Task task-1744540182615 finished with state: completed
[Task task-1744540227371] Created new task and history.
[TavernServer] Processing task task-1744540227371 with state submitted
[TavernServer] Task task-1744540227371 finished with state: completed
[Task task-1744541565261] Created new task and history.
[TavernServer] Processing task task-1744541565261 with state submitted
[TavernServer] Task task-1744541565261 finished with state: completed
[Task wza-tavern-query-1744541581137] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744541581137 with state submitted
[TavernServer] Task wza-tavern-query-1744541581137 finished with state: completed
[Task wza-tavern-query-1744541589199] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744541589199 with state submitted
[TavernServer] Task wza-tavern-query-1744541589199 finished with state: completed
[Task task-1744541622673] Created new task and history.
[TavernServer] Processing task task-1744541622673 with state submitted
[TavernServer] Task task-1744541622673 finished with state: input-required
[Task task-1744542236758] Created new task and history.
[TavernServer] Processing task task-1744542236758 with state submitted
[TavernServer] Task task-1744542236758 finished with state: completed
[Task wza-tavern-query-1744542253581] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744542253581 with state submitted
[TavernServer] Task wza-tavern-query-1744542253581 finished with state: completed
[Task wza-tavern-query-1744542261158] Created new task and history.
[TavernServer] Processing task wza-tavern-query-1744542261158 with state submitted
[TavernServer] Task wza-tavern-query-1744542261158 finished with state: input-required
[Task task-1744542296225] Created new task and history.
[TavernServer] Processing task task-1744542296225 with state submitted
[TavernServer] Task task-1744542296225 finished with state: completed
